Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	observed signal profile (minus strand)	training and test regions	observed signal profile (plus strand)	models	selected regions for predicted signal and sequence contribution scores	profile sequence contribution scores	counts sequence contribution scores	predicted signal profile	normalized observed signal profile (plus strand)	normalized observed signal profile (minus strand)	observed control profile (plus strand)	observed control profile (minus strand)	alignments	unfiltered alignments	sequence motifs	sequence motifs instances	sequence motifs report	predicted signal profile (plus strand)	predicted signal profile (minus strand)	normalized predicted signal profile (plus strand)	normalized predicted signal profile (minus strand)	bidirectional peaks	unidirectional peaks
ENCSR844XCH	in progress	BPNet-model	GRCh38	ENCSR492FKD	released	eGFP-ZNF257 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF257	K562	cell line	ChIP-seq	false	['ENCFF249WUM.bigWig']	['ENCFF839CYS.tar.gz']	['ENCFF902HVI.bigWig']	['ENCFF253NCE.tar.gz']	['ENCFF551PNG.bed.gz', 'ENCFF129QCZ.bigBed']	['ENCFF805FHQ.bigWig', 'ENCFF129MJI.tar.gz']	['ENCFF004YKA.bigWig', 'ENCFF412OYQ.tar.gz']	['ENCFF906MBC.tar.gz']	['ENCFF110CXA.bigWig']	['ENCFF099VZI.bigWig']	['ENCFF262BIH.bigWig']	['ENCFF266JXX.bigWig']	['ENCFF840PAF.bam', 'ENCFF122YSZ.bam']	[]	['ENCFF247ZEC.tar.gz']	['ENCFF223UIY.tar.gz']	['ENCFF591WWW.tar.gz']	['ENCFF687WIV.bigWig']	['ENCFF494PKB.bigWig']	['ENCFF383GHI.bigWig']	['ENCFF191HAN.bigWig']	[]	[]
ENCSR630JWB	in progress	BPNet-model	GRCh38	ENCSR603BJQ	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens FOXK1	HepG2	cell line	ChIP-seq	false	['ENCFF577WLN.bigWig']	['ENCFF426WIS.tar.gz']	['ENCFF055YGU.bigWig']	['ENCFF849DDZ.tar.gz']	['ENCFF831HCV.bed.gz', 'ENCFF785IZN.bigBed']	['ENCFF893ANK.bigWig', 'ENCFF084XGL.tar.gz']	['ENCFF833BPC.bigWig', 'ENCFF655ODR.tar.gz']	['ENCFF389KGL.tar.gz']	['ENCFF358IEB.bigWig']	['ENCFF016DPX.bigWig']	['ENCFF885YDL.bigWig']	['ENCFF135SIX.bigWig']	[]	['ENCFF429XON.bam', 'ENCFF643ONJ.bam']	['ENCFF011THD.tar.gz']	['ENCFF748WHW.tar.gz']	['ENCFF317BWP.tar.gz']	['ENCFF842DNC.bigWig']	['ENCFF969OIS.bigWig']	['ENCFF012POF.bigWig']	['ENCFF627JKC.bigWig']	[]	[]
ENCSR852SMJ	in progress	BPNet-model	GRCh38	ENCSR378BVM	released	CTCF ChIP-seq on dorsolateral prefrontal cortex tissue female adult (87 years) originated from dorsolateral prefrontal cortex	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (87 years)	dorsolateral prefrontal cortex	tissue	ChIP-seq	false	['ENCFF912VDL.bigWig']	['ENCFF606CJY.tar.gz']	['ENCFF970TZP.bigWig']	['ENCFF952OOL.tar.gz']	['ENCFF783API.bed.gz', 'ENCFF535KZH.bigBed']	['ENCFF231BLN.bigWig', 'ENCFF222GMM.tar.gz']	['ENCFF476CTN.bigWig', 'ENCFF624EJV.tar.gz']	['ENCFF332NPV.tar.gz']	['ENCFF789QLO.bigWig']	['ENCFF652NBR.bigWig']	['ENCFF317TGE.bigWig']	['ENCFF827ODH.bigWig']	[]	['ENCFF543MIR.bam']	['ENCFF086KHM.tar.gz']	['ENCFF964QEK.tar.gz']	['ENCFF979KBJ.tar.gz']	['ENCFF506WGT.bigWig']	['ENCFF894DKL.bigWig']	['ENCFF475KLR.bigWig']	['ENCFF097ZSJ.bigWig']	[]	[]
ENCSR722PLM	in progress	BPNet-model	GRCh38	ENCSR744YJR	released	CTCF ChIP-seq on human thyroid gland	Homo sapiens thyroid gland tissue female adult (53 years)	thyroid gland	tissue	ChIP-seq	false	['ENCFF923QPD.bigWig']	['ENCFF294JZG.tar.gz']	['ENCFF054MUI.bigWig']	['ENCFF329FAS.tar.gz']	['ENCFF629KAH.bed.gz', 'ENCFF063UZJ.bigBed']	['ENCFF490GVY.bigWig', 'ENCFF423TFZ.tar.gz']	['ENCFF256JAR.bigWig', 'ENCFF023PZR.tar.gz']	['ENCFF388MDI.tar.gz']	['ENCFF101KPX.bigWig']	['ENCFF725HXT.bigWig']	['ENCFF801KEY.bigWig']	['ENCFF409TDB.bigWig']	['ENCFF384AMD.bam']	[]	['ENCFF369GLB.tar.gz']	['ENCFF459LVK.tar.gz']	['ENCFF360IPR.tar.gz']	['ENCFF733GPL.bigWig']	['ENCFF980PFG.bigWig']	['ENCFF177JPZ.bigWig']	['ENCFF894BIZ.bigWig']	[]	[]
ENCSR209MEV	in progress	BPNet-model	GRCh38	ENCSR026RAK	released	eGFP-MXD1 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MXD1	K562	cell line	ChIP-seq	false	['ENCFF132KER.bigWig']	['ENCFF823KIZ.tar.gz']	['ENCFF512ZVJ.bigWig']	['ENCFF586NMR.tar.gz']	['ENCFF819EBW.bed.gz', 'ENCFF817CYU.bigBed']	['ENCFF787FBH.bigWig', 'ENCFF830SRF.tar.gz']	['ENCFF391XYN.bigWig', 'ENCFF893VRJ.tar.gz']	['ENCFF198BVO.tar.gz']	['ENCFF368RQE.bigWig']	['ENCFF320YEQ.bigWig']	['ENCFF116ESF.bigWig']	['ENCFF257BVX.bigWig']	['ENCFF138KAN.bam', 'ENCFF963WUS.bam']	[]	['ENCFF218ZLB.tar.gz']	['ENCFF149NVV.tar.gz']	['ENCFF103NAC.tar.gz']	['ENCFF476DOO.bigWig']	['ENCFF314XDW.bigWig']	['ENCFF450UTU.bigWig']	['ENCFF041GLL.bigWig']	[]	[]
ENCSR545YPY	in progress	BPNet-model	GRCh38	ENCSR044UJJ	released	eGFP-ATF4 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ATF4	K562	cell line	ChIP-seq	false	['ENCFF993VMJ.bigWig']	['ENCFF929RHG.tar.gz']	['ENCFF031LYT.bigWig']	['ENCFF834LHU.tar.gz']	['ENCFF081EFL.bed.gz', 'ENCFF629PQA.bigBed']	['ENCFF162QZD.bigWig', 'ENCFF771BCD.tar.gz']	['ENCFF609NWY.bigWig', 'ENCFF088QAY.tar.gz']	['ENCFF547FYI.tar.gz']	['ENCFF801BFH.bigWig']	['ENCFF033QWX.bigWig']	['ENCFF440BSO.bigWig']	['ENCFF850ILW.bigWig']	['ENCFF125YMJ.bam', 'ENCFF150KOL.bam']	[]	['ENCFF923EMY.tar.gz']	['ENCFF690XZW.tar.gz']	['ENCFF673QIC.tar.gz']	['ENCFF506UKF.bigWig']	['ENCFF316WYY.bigWig']	['ENCFF226QER.bigWig']	['ENCFF484GBX.bigWig']	[]	[]
ENCSR245QAZ	in progress	BPNet-model	GRCh38	ENCSR768HOH	released	eGFP-ZNF324 ChIP-seq on human HEK293 cells.	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF324	HEK293	cell line	ChIP-seq	false	['ENCFF386AJL.bigWig']	['ENCFF131XEY.tar.gz']	['ENCFF990GAL.bigWig']	['ENCFF741FEM.tar.gz']	['ENCFF511JVK.bed.gz', 'ENCFF849YWF.bigBed']	['ENCFF184MPC.bigWig', 'ENCFF076KPO.tar.gz']	['ENCFF853YZN.bigWig', 'ENCFF154GJZ.tar.gz']	['ENCFF894FVJ.tar.gz']	['ENCFF761JTT.bigWig']	['ENCFF090UIX.bigWig']	['ENCFF608HYG.bigWig']	['ENCFF090KUY.bigWig']	['ENCFF649NYY.bam', 'ENCFF497MBJ.bam']	[]	['ENCFF440RSS.tar.gz']	['ENCFF905MDZ.tar.gz']	['ENCFF669TED.tar.gz']	['ENCFF600XTJ.bigWig']	['ENCFF877WDL.bigWig']	['ENCFF948AES.bigWig']	['ENCFF946EFM.bigWig']	[]	[]
ENCSR586WPV	in progress	BPNet-model	GRCh38	ENCSR251OVJ	released	Chip-Seq on GM12878	Homo sapiens GM12878	GM12878	cell line	ChIP-seq	false	['ENCFF026CUE.bigWig']	['ENCFF951CYJ.tar.gz']	['ENCFF990PID.bigWig']	['ENCFF769RVZ.tar.gz']	['ENCFF134HXP.bed.gz', 'ENCFF832SOT.bigBed']	['ENCFF015VRW.bigWig', 'ENCFF190NKK.tar.gz']	['ENCFF429CLO.bigWig', 'ENCFF716QCG.tar.gz']	['ENCFF596FFB.tar.gz']	['ENCFF315VXB.bigWig']	['ENCFF935CIO.bigWig']	['ENCFF160WIE.bigWig']	['ENCFF194NGU.bigWig']	[]	['ENCFF889CZV.bam', 'ENCFF198XBO.bam']	['ENCFF296NRM.tar.gz']	['ENCFF668ESD.tar.gz']	['ENCFF672KJB.tar.gz']	['ENCFF774NOQ.bigWig']	['ENCFF038DIT.bigWig']	['ENCFF242PNL.bigWig']	['ENCFF932LYA.bigWig']	[]	[]
ENCSR813QRF	in progress	BPNet-model	GRCh38	ENCSR233FJO	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF280D	HepG2	cell line	ChIP-seq	false	['ENCFF082VTK.bigWig']	['ENCFF277IDS.tar.gz']	['ENCFF973VYD.bigWig']	['ENCFF890CRK.tar.gz']	['ENCFF186ZDG.bed.gz', 'ENCFF808OMM.bigBed']	['ENCFF835DFO.bigWig', 'ENCFF942UGA.tar.gz']	['ENCFF229EDL.bigWig', 'ENCFF458WMT.tar.gz']	['ENCFF699YBT.tar.gz']	['ENCFF833VED.bigWig']	['ENCFF649ESU.bigWig']	['ENCFF748HLL.bigWig']	['ENCFF994YRS.bigWig']	[]	['ENCFF372AEP.bam', 'ENCFF096PMF.bam']	['ENCFF418CBQ.tar.gz']	['ENCFF999CBC.tar.gz']	['ENCFF032XIM.tar.gz']	['ENCFF593HVT.bigWig']	['ENCFF804BZN.bigWig']	['ENCFF495BPN.bigWig']	['ENCFF457JJM.bigWig']	[]	[]
ENCSR524HES	in progress	BPNet-model	GRCh38	ENCSR429JTR	released	Chip-Seq on transverse colon	Homo sapiens transverse colon tissue male adult (37 years)	transverse colon	tissue	ChIP-seq	false	['ENCFF556IUI.bigWig']	['ENCFF582EYY.tar.gz']	['ENCFF519IQZ.bigWig']	['ENCFF410QNC.tar.gz']	['ENCFF766YRI.bed.gz', 'ENCFF171FEO.bigBed']	['ENCFF498BQJ.bigWig', 'ENCFF429SUE.tar.gz']	['ENCFF252NFM.bigWig', 'ENCFF104MHK.tar.gz']	['ENCFF548WWK.tar.gz']	['ENCFF242RHO.bigWig']	['ENCFF481JYK.bigWig']	['ENCFF685AHS.bigWig']	['ENCFF175EGL.bigWig']	['ENCFF202XLX.bam']	[]	['ENCFF804UQL.tar.gz']	['ENCFF172SIN.tar.gz']	['ENCFF838SUU.tar.gz']	['ENCFF998PSX.bigWig']	['ENCFF949AMU.bigWig']	['ENCFF184XDH.bigWig']	['ENCFF300SCZ.bigWig']	[]	[]
ENCSR377NKR	in progress	BPNet-model	GRCh38	ENCSR912ATU	released	ZNF217 ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF026NSE.bigWig']	['ENCFF590WFR.tar.gz']	['ENCFF486XAP.bigWig']	['ENCFF838COS.tar.gz']	['ENCFF746PAT.bed.gz', 'ENCFF246DXS.bigBed']	['ENCFF535CCH.bigWig', 'ENCFF082QHC.tar.gz']	['ENCFF348OKX.bigWig', 'ENCFF563XCR.tar.gz']	['ENCFF337VLB.tar.gz']	['ENCFF248MBM.bigWig']	['ENCFF873CEC.bigWig']	['ENCFF533JPZ.bigWig']	['ENCFF004PFE.bigWig']	['ENCFF478PMI.bam', 'ENCFF264JKK.bam']	[]	['ENCFF621LAH.tar.gz']	['ENCFF960ZOF.tar.gz']	['ENCFF011FCW.tar.gz']	['ENCFF740YSF.bigWig']	['ENCFF985BUU.bigWig']	['ENCFF818UFR.bigWig']	['ENCFF041SRJ.bigWig']	[]	[]
ENCSR869FSJ	in progress	BPNet-model	GRCh38	ENCSR163PYB	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens CHCHD3	HepG2	cell line	ChIP-seq	false	['ENCFF984RQK.bigWig']	['ENCFF185UZZ.tar.gz']	['ENCFF340KZJ.bigWig']	['ENCFF116BFB.tar.gz']	['ENCFF870PEP.bed.gz', 'ENCFF056TPC.bigBed']	['ENCFF562ENU.bigWig', 'ENCFF152XEP.tar.gz']	['ENCFF207ING.bigWig', 'ENCFF128EXF.tar.gz']	['ENCFF132PTN.tar.gz']	['ENCFF466DOO.bigWig']	['ENCFF030ALQ.bigWig']	['ENCFF750NSD.bigWig']	['ENCFF129QUT.bigWig']	[]	['ENCFF400DGN.bam', 'ENCFF569CBM.bam']	['ENCFF625TAR.tar.gz']	['ENCFF250VNF.tar.gz']	['ENCFF251EPM.tar.gz']	['ENCFF093NSF.bigWig']	['ENCFF029CKR.bigWig']	['ENCFF728QYY.bigWig']	['ENCFF408DZL.bigWig']	[]	[]
ENCSR756VJR	in progress	BPNet-model	GRCh38	ENCSR145YCX	released	EP300 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 4 hours.	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 4 hours	A549	cell line	ChIP-seq	true	['ENCFF938OUG.bigWig']	['ENCFF903PFM.tar.gz']	['ENCFF348RUR.bigWig']	['ENCFF720MXJ.tar.gz']	['ENCFF658BQG.bed.gz', 'ENCFF744KZG.bigBed']	['ENCFF759VNU.bigWig', 'ENCFF948EIZ.tar.gz']	['ENCFF905XOK.bigWig', 'ENCFF502DPM.tar.gz']	['ENCFF398IAH.tar.gz']	['ENCFF552THB.bigWig']	['ENCFF088HVL.bigWig']	['ENCFF095UPS.bigWig']	['ENCFF742WAX.bigWig']	[]	['ENCFF181GIT.bam', 'ENCFF584NHR.bam']	['ENCFF677MHB.tar.gz']	['ENCFF609PUN.tar.gz']	['ENCFF533QCE.tar.gz']	['ENCFF542LCG.bigWig']	['ENCFF553HMJ.bigWig']	['ENCFF573CUI.bigWig']	['ENCFF907JHB.bigWig']	[]	[]
ENCSR457NZG	in progress	BPNet-model	GRCh38	ENCSR168SMX	released	Chip-Seq on NR2F2-human	Homo sapiens liver tissue female child (4 years)	liver	tissue	ChIP-seq	false	['ENCFF509AEF.bigWig']	['ENCFF917QUO.tar.gz']	['ENCFF261TQR.bigWig']	['ENCFF309DUG.tar.gz']	['ENCFF283IGD.bed.gz', 'ENCFF158VYV.bigBed']	['ENCFF615UHQ.bigWig', 'ENCFF845RCY.tar.gz']	['ENCFF196BZW.bigWig', 'ENCFF212QPL.tar.gz']	['ENCFF046YQV.tar.gz']	['ENCFF502WJC.bigWig']	['ENCFF033INS.bigWig']	['ENCFF307SDB.bigWig']	['ENCFF159LUV.bigWig']	[]	['ENCFF629GEV.bam', 'ENCFF753YRS.bam']	['ENCFF067DNA.tar.gz']	['ENCFF667VDL.tar.gz']	['ENCFF811YQA.tar.gz']	['ENCFF402WBS.bigWig']	['ENCFF432GOO.bigWig']	['ENCFF012FPY.bigWig']	['ENCFF954ERO.bigWig']	[]	[]
ENCSR779BUX	in progress	BPNet-model	GRCh38	ENCSR164RIC	released	eGFP-ZNF444 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF444	K562	cell line	ChIP-seq	false	['ENCFF538MAV.bigWig']	['ENCFF360UVI.tar.gz']	['ENCFF805YPQ.bigWig']	['ENCFF606ERT.tar.gz']	['ENCFF729YKT.bed.gz', 'ENCFF947HMS.bigBed']	['ENCFF674CPY.bigWig', 'ENCFF443HQK.tar.gz']	['ENCFF886WGR.bigWig', 'ENCFF226ZVA.tar.gz']	['ENCFF678JEQ.tar.gz']	['ENCFF933RTT.bigWig']	['ENCFF363TBQ.bigWig']	['ENCFF645ZNY.bigWig']	['ENCFF915FIP.bigWig']	['ENCFF154EDA.bam', 'ENCFF503BSH.bam']	[]	['ENCFF092IFW.tar.gz']	['ENCFF475MQQ.tar.gz']	['ENCFF132SXM.tar.gz']	['ENCFF779ESI.bigWig']	['ENCFF817GWC.bigWig']	['ENCFF249GVZ.bigWig']	['ENCFF863HMY.bigWig']	[]	[]
ENCSR415PWX	in progress	BPNet-model	GRCh38	ENCSR541WQI	released	MAFK ChIP-seq on human A549	Homo sapiens A549	A549	cell line	ChIP-seq	false	['ENCFF062DJL.bigWig']	['ENCFF458RVT.tar.gz']	['ENCFF893AIN.bigWig']	['ENCFF997IOY.tar.gz']	['ENCFF540SYE.bed.gz', 'ENCFF960QFL.bigBed']	['ENCFF708PXI.bigWig', 'ENCFF018ECA.tar.gz']	['ENCFF360BRS.bigWig', 'ENCFF309RFI.tar.gz']	['ENCFF411SWK.tar.gz']	['ENCFF998XXP.bigWig']	['ENCFF351LCU.bigWig']	['ENCFF359JPN.bigWig']	['ENCFF429OFY.bigWig']	['ENCFF159OSW.bam', 'ENCFF712RWH.bam']	[]	['ENCFF407HZS.tar.gz']	['ENCFF127YWW.tar.gz']	['ENCFF694WJE.tar.gz']	['ENCFF222RGG.bigWig']	['ENCFF761AHD.bigWig']	['ENCFF787QZX.bigWig']	['ENCFF649TCE.bigWig']	[]	[]
ENCSR852CZQ	in progress	BPNet-model	GRCh38	ENCSR977FEF	released	eGFP-PRDM1 ChIP-seq on human A549	Homo sapiens A549 genetically modified (insertion) using CRISPR targeting H. sapiens PRDM1	A549	cell line	ChIP-seq	false	['ENCFF997EEW.bigWig']	['ENCFF533ZMY.tar.gz']	['ENCFF092BOB.bigWig']	['ENCFF975DPX.tar.gz']	['ENCFF897JMI.bed.gz', 'ENCFF310ZVR.bigBed']	['ENCFF890IOK.bigWig', 'ENCFF559BJN.tar.gz']	['ENCFF576OCR.bigWig', 'ENCFF563JTR.tar.gz']	['ENCFF413LFD.tar.gz']	['ENCFF902VSH.bigWig']	['ENCFF099UCV.bigWig']	['ENCFF145BNB.bigWig']	['ENCFF575VNT.bigWig']	['ENCFF218DHR.bam', 'ENCFF023OSA.bam']	[]	['ENCFF840ACF.tar.gz']	['ENCFF957SOD.tar.gz']	['ENCFF917HWP.tar.gz']	['ENCFF244SIT.bigWig']	['ENCFF072RWZ.bigWig']	['ENCFF842TYX.bigWig']	['ENCFF393SXP.bigWig']	[]	[]
ENCSR848ZRL	in progress	BPNet-model	GRCh38	ENCSR617POJ	released	eGFP-ZFP1 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ZFP1	K562	cell line	ChIP-seq	false	['ENCFF323JEO.bigWig']	['ENCFF712TVT.tar.gz']	['ENCFF909IZB.bigWig']	['ENCFF079SDN.tar.gz']	['ENCFF417YIF.bed.gz', 'ENCFF730GXH.bigBed']	['ENCFF964JBH.bigWig', 'ENCFF912UUT.tar.gz']	['ENCFF881FUE.bigWig', 'ENCFF133BRF.tar.gz']	['ENCFF061TFK.tar.gz']	['ENCFF170HCF.bigWig']	['ENCFF791XLF.bigWig']	['ENCFF317ZHD.bigWig']	['ENCFF121CCA.bigWig']	['ENCFF463LXE.bam', 'ENCFF127ODS.bam']	[]	['ENCFF860TFX.tar.gz']	['ENCFF097ERF.tar.gz']	['ENCFF023DAM.tar.gz']	['ENCFF165QHE.bigWig']	['ENCFF963VXA.bigWig']	['ENCFF348YDF.bigWig']	['ENCFF727TDW.bigWig']	[]	[]
ENCSR503GCJ	in progress	BPNet-model	GRCh38	ENCSR697CNF	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF571	HepG2	cell line	ChIP-seq	false	['ENCFF608WOS.bigWig']	['ENCFF659SJC.tar.gz']	['ENCFF889PTD.bigWig']	['ENCFF453JUF.tar.gz']	['ENCFF319CUF.bed.gz', 'ENCFF413JOB.bigBed']	['ENCFF591IDG.bigWig', 'ENCFF633DNX.tar.gz']	['ENCFF130EDP.bigWig', 'ENCFF332FVE.tar.gz']	['ENCFF930MNH.tar.gz']	['ENCFF331HBP.bigWig']	['ENCFF170WWG.bigWig']	['ENCFF766TIF.bigWig']	['ENCFF044TMS.bigWig']	[]	['ENCFF876JSA.bam', 'ENCFF487YTS.bam']	['ENCFF306JFK.tar.gz']	['ENCFF143DRZ.tar.gz']	['ENCFF485WBM.tar.gz']	['ENCFF870DJC.bigWig']	['ENCFF388RMN.bigWig']	['ENCFF815NJV.bigWig']	['ENCFF636BGT.bigWig']	[]	[]
ENCSR169NCZ	in progress	BPNet-model	GRCh38	ENCSR000EWV	released	GATA3 ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF664BUW.bigWig']	['ENCFF109VJQ.tar.gz']	['ENCFF869VSJ.bigWig']	['ENCFF646TCU.tar.gz']	['ENCFF148SUJ.bed.gz', 'ENCFF944UIV.bigBed']	['ENCFF437IIA.bigWig', 'ENCFF071RSV.tar.gz']	['ENCFF589LMT.bigWig', 'ENCFF761AAD.tar.gz']	['ENCFF324WQA.tar.gz']	['ENCFF190WVD.bigWig']	['ENCFF870PJQ.bigWig']	['ENCFF162MNE.bigWig']	['ENCFF317XSR.bigWig']	[]	['ENCFF017ATT.bam', 'ENCFF768KVQ.bam']	['ENCFF739RCL.tar.gz']	['ENCFF119WCC.tar.gz']	['ENCFF635PDC.tar.gz']	['ENCFF544XBX.bigWig']	['ENCFF373LPV.bigWig']	['ENCFF762FUX.bigWig']	['ENCFF788EZV.bigWig']	[]	[]
ENCSR761SWJ	in progress	BPNet-model	GRCh38	ENCSR000DSZ	released	CTCF ChIP-seq on human HAc	Homo sapiens astrocyte of the cerebellum	astrocyte of the cerebellum	primary cell	ChIP-seq	false	['ENCFF836GBY.bigWig']	['ENCFF043WUV.tar.gz']	['ENCFF955DCY.bigWig']	['ENCFF529CSW.tar.gz']	['ENCFF250DHD.bed.gz', 'ENCFF955UCF.bigBed']	['ENCFF505BEY.bigWig', 'ENCFF213OKW.tar.gz']	['ENCFF761KOB.bigWig', 'ENCFF228BIP.tar.gz']	['ENCFF984FBN.tar.gz']	['ENCFF484RUA.bigWig']	['ENCFF510SJT.bigWig']	['ENCFF946DAV.bigWig']	['ENCFF840SHV.bigWig']	[]	['ENCFF686MYO.bam', 'ENCFF437JMM.bam']	['ENCFF888GZV.tar.gz']	['ENCFF858BNG.tar.gz']	['ENCFF602CIP.tar.gz']	['ENCFF205SOO.bigWig']	['ENCFF104RHG.bigWig']	['ENCFF442YWF.bigWig']	['ENCFF722QXB.bigWig']	[]	[]
ENCSR021VXJ	in progress	BPNet-model	GRCh38	ENCSR567NTZ	released	eGFP-TCF15 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TCF15	K562	cell line	ChIP-seq	false	['ENCFF049BLC.bigWig']	['ENCFF266RIM.tar.gz']	['ENCFF632TCN.bigWig']	['ENCFF593FSX.tar.gz']	['ENCFF388QEG.bed.gz', 'ENCFF834CXD.bigBed']	['ENCFF729IRN.bigWig', 'ENCFF386VRJ.tar.gz']	['ENCFF538IZM.bigWig', 'ENCFF801BKO.tar.gz']	['ENCFF688AVZ.tar.gz']	['ENCFF067GLC.bigWig']	['ENCFF905QNY.bigWig']	['ENCFF113NGO.bigWig']	['ENCFF066XKC.bigWig']	['ENCFF257NVZ.bam', 'ENCFF470AOM.bam']	[]	['ENCFF295VWA.tar.gz']	['ENCFF604EDF.tar.gz']	['ENCFF159ZLT.tar.gz']	['ENCFF471RXP.bigWig']	['ENCFF235ZMY.bigWig']	['ENCFF440ZMV.bigWig']	['ENCFF893ZFX.bigWig']	[]	[]
ENCSR947YMK	in progress	BPNet-model	GRCh38	ENCSR000EGE	released	EP300 ChIP-seq on human K562 produced by the Snyder lab	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF075DZK.bigWig']	['ENCFF667HPJ.tar.gz']	['ENCFF657BPA.bigWig']	['ENCFF078PHY.tar.gz']	['ENCFF718RTS.bed.gz', 'ENCFF979NZH.bigBed']	['ENCFF534WKW.bigWig', 'ENCFF682YNZ.tar.gz']	['ENCFF357EMH.bigWig', 'ENCFF612FXJ.tar.gz']	['ENCFF371OKP.tar.gz']	['ENCFF404RJJ.bigWig']	['ENCFF970BVZ.bigWig']	['ENCFF360UUC.bigWig']	['ENCFF015GIS.bigWig']	[]	['ENCFF466WKF.bam', 'ENCFF163FSR.bam']	['ENCFF621IRI.tar.gz']	['ENCFF112CRI.tar.gz']	['ENCFF315UUW.tar.gz']	['ENCFF350GYO.bigWig']	['ENCFF379ZWV.bigWig']	['ENCFF203TGE.bigWig']	['ENCFF012LON.bigWig']	[]	[]
ENCSR392GOG	in progress	BPNet-model	GRCh38	ENCSR073OBD	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF879	HepG2	cell line	ChIP-seq	false	['ENCFF877DGP.bigWig']	['ENCFF959XYF.tar.gz']	['ENCFF504GFO.bigWig']	['ENCFF953KYN.tar.gz']	['ENCFF421LJM.bed.gz', 'ENCFF721YUM.bigBed']	['ENCFF177BZU.bigWig', 'ENCFF665PYZ.tar.gz']	['ENCFF611IMS.bigWig', 'ENCFF353FXK.tar.gz']	['ENCFF263AUA.tar.gz']	['ENCFF878OIU.bigWig']	['ENCFF626WAW.bigWig']	['ENCFF720VQW.bigWig']	['ENCFF728LZS.bigWig']	[]	['ENCFF385QRZ.bam', 'ENCFF087GZV.bam']	['ENCFF668VLD.tar.gz']	['ENCFF174PGI.tar.gz']	['ENCFF351SJO.tar.gz']	['ENCFF838CBP.bigWig']	['ENCFF212YCL.bigWig']	['ENCFF897EDO.bigWig']	['ENCFF367VZX.bigWig']	[]	[]
ENCSR204MBZ	in progress	BPNet-model	GRCh38	ENCSR549PVK	released	eGFP-PATZ1 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens PATZ1	K562	cell line	ChIP-seq	false	['ENCFF430DXU.bigWig']	['ENCFF934WPQ.tar.gz']	['ENCFF482ZNC.bigWig']	['ENCFF195EZH.tar.gz']	['ENCFF273JWW.bed.gz', 'ENCFF213HGE.bigBed']	['ENCFF145BFU.bigWig', 'ENCFF725CVK.tar.gz']	['ENCFF743BMS.bigWig', 'ENCFF950TEY.tar.gz']	['ENCFF854QPJ.tar.gz']	['ENCFF796UEY.bigWig']	['ENCFF046BJY.bigWig']	['ENCFF658GEP.bigWig']	['ENCFF676NVM.bigWig']	['ENCFF231JPM.bam', 'ENCFF809APN.bam']	[]	['ENCFF400TPC.tar.gz']	['ENCFF861MBN.tar.gz']	['ENCFF678WYQ.tar.gz']	['ENCFF622JYT.bigWig']	['ENCFF985TBY.bigWig']	['ENCFF284DTU.bigWig']	['ENCFF824JIB.bigWig']	[]	[]
