Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile file (plus strand)	Annotation observed signal profile file (minus strand)	Annotation observed control profile file (plus strand)	Annotation observed control profile file (minus strand)	Annotation training and test regions file	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR977BTV	in progress	ENCSR841YWU	released	false		E4F1 ChIP-seq on human MCF-7	EFO:0001203	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF064EFN.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF563PYP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF171UJV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF533JPZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF004PFE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF005BGI.tar.gz	ENCFF929THL,ENCFF320JEJ	""
ENCSR977OKO	in progress	ENCSR555DCF	released	false		ZNF512B ChIP-seq on human MCF-7	EFO:0001203	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF232AAP.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF965DCW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF992TOP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF533JPZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF004PFE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF761PFB.tar.gz	ENCFF006JMS,ENCFF564XHO	""
ENCSR977SBI	in progress	ENCSR961SKY	released	false	male adult (26 years)	CTCF ChIP-seq on spleen tissue male adult (26 years)	UBERON:0002106	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF118YOI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF192IEJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF184WYT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF538XBM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF942HLH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF736TUT.tar.gz	""	ENCFF006SOZ
ENCSR978HSS	in progress	ENCSR767HDQ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens CERS6	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF078DSV.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF680GOO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF559BNZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF588PUM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF035KEN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF603HIW.tar.gz	""	ENCFF612CBH,ENCFF950PNV
ENCSR978IQX	in progress	ENCSR038RGL	released	false		MCM7 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF365ASV.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF099MIE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF584CPG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF722CKB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211QIJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF075DMQ.tar.gz	ENCFF809FJO,ENCFF114KCE	""
ENCSR978UNF	in progress	ENCSR547TGL	released	false	genetically modified (insertion) using site-specific recombination targeting H. sapiens ZNF701	eGFP-ZNF701 ChIP-seq on human HEK293 cells.	EFO:0001182	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF713KFA.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF972UAA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF954PUS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608HYG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF090KUY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF324PJY.tar.gz	ENCFF071BXK,ENCFF510DCE	""
ENCSR978WVS	in progress	ENCSR507RVF	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens FOXP4	ChIP-Seq on WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF566SGO.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF626VQH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF701DGT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF259RVS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF052DPE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF800TCP.tar.gz	""	ENCFF352WAX,ENCFF549DYD
ENCSR979WUZ	in progress	ENCSR000EVM	released	false	stably expressing N-terminal HA-tagged E2F1	HA-E2F1 ChIP-seq on human HeLa-S3	EFO:0002791	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF349YNY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF255ZTY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF007YSP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF771YRH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF255NSG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF801GWR.tar.gz	""	ENCFF749KER,ENCFF650WVA
ENCSR979ZAD	in progress	ENCSR000BKW	released	true	treated with 0.02 percent dimethyl sulfoxide for 1 hour	FOXA1 ChIP-seq protocol v041610.2 on human ECC-1 treated with 0.02% DMSO. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	EFO:0005718	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF157USD.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF899OMP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF508XZL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF377VEC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF538WKW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF661EEE.tar.gz	""	ENCFF624OJO,ENCFF162OHJ
ENCSR980FFO	in progress	ENCSR798ILC	released	false		NCOR1 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF143HQT.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF477HDW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF925YBC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF722CKB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211QIJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF697PRR.tar.gz	ENCFF711PPJ,ENCFF587RPC	""
ENCSR980OYN	in progress	ENCSR322JEO	released	false	female adult (53 years)	POLR2A ChIP-seq on human sigmoid colon	UBERON:0001159	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF377XBX.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF401MMH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF482FTM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF067XOQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF005VWS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF414PIS.tar.gz	ENCFF074JCH	""
ENCSR980QWG	in progress	ENCSR835TCD	released	false	stably expressing C-terminal eGFP-tagged HDAC8	eGFP-HDAC8 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF402BLH.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF717NTI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF419ZPZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF523OQA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF827PUS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF807KJW.tar.gz	ENCFF590BZG,ENCFF406EUZ	""
ENCSR980THB	in progress	ENCSR000DOR	released	true	treated with 1.0 μM afimoxifene for 36.0 hours	E2F4 ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 36 hours	EFO:0001200	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF361VPG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF406BBF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225MPD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF900MAA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF362EEZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF042UZN.tar.gz	""	ENCFF699DJT,ENCFF457MLX
ENCSR981BLG	in progress	ENCSR730TBC	released	false		MNT ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF154LEO.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF906PUL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF264IOQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF274EEZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF793BNP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211WBO.tar.gz	ENCFF233NJX,ENCFF502WIZ	""
ENCSR981BPZ	in progress	ENCSR460YAM	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens SP1	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF571QZT.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF932VOF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF083AAB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF783LIO.tar.gz	""	ENCFF542FOX,ENCFF973GCK
ENCSR981GUY	in progress	ENCSR322CFO	released	false		ZEB2 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF380QXL.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF223BUO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF822IRY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF701QRI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF271SBY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211IEY.tar.gz	ENCFF566ILV,ENCFF453OSG	""
ENCSR981SVE	in progress	ENCSR000DMV	released	false		CTCF ChIP-seq on human MCF-7	EFO:0001203	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF181RIP.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF593EAU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF298CVK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF408GVT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF443EVW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF777ZNG.tar.gz	""	ENCFF582BRO,ENCFF651WGL
ENCSR982DVY	in progress	ENCSR000EFB	released	false	newborn	POLR2A ChIP-seq on human HUVEC	CL:0002618	primary cell	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF829BZW.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF259ZNL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF715YJX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF525NCX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF502QBD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF484JGY.tar.gz	""	ENCFF896CLK,ENCFF354QNA,ENCFF626NII
ENCSR982PZK	in progress	ENCSR000ECT	released	false		POLR2AphosphoS2 ChIP-seq on human HeLa-S3	EFO:0002791	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF795GTS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF355OEG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF679FBM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF381SHR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF069WKV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF451ZST.tar.gz	""	ENCFF936AJY,ENCFF860QLC
ENCSR982VJO	in progress	ENCSR000EFF	released	false		MAZ ChIP-seq on human IMR90 produced by the Snyder lab	EFO:0001196	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF850PXY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF696SJX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF487CXZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF190HLE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF741WGF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF038BRC.tar.gz	""	ENCFF098WJW,ENCFF380BAZ
ENCSR982WSU	in progress	ENCSR000EUI	released	false		ZNF274 ChIP-seq on human GM08714	EFO:0005333	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF513HKI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF508KFL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF978IQN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF214OFG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF284FCT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF090QNK.tar.gz	""	ENCFF846XPM,ENCFF092QUV
ENCSR983CJP	in progress	ENCSR000AIO	released	false	C3H	Max ChIP-seq on mouse C2C12	EFO:0001098	cell line	mm10	Mus musculus	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF576BZJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF523ZXS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF953UJS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF527SPG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF813PTZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF293JQQ.tar.gz	""	ENCFF967VKV
ENCSR983EKD	in progress	ENCSR011PEI	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF175	eGFP-ZNF175 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF606NHQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF961TYM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF895QXL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF628RYC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF250VYG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF722XUS.tar.gz	""	ENCFF909LQK,ENCFF973OAW
ENCSR983GOH	in progress	ENCSR633HRJ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens HNF1A	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF490NQJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF209VJE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF292SZU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF490NWM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF388KIY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF187DBM.tar.gz	""	ENCFF660GVU,ENCFF156HWI
ENCSR983UAU	in progress	ENCSR000BPV	released	true	treated with 0.02 percent ethanol for 1 hour	USF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF332JDX.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF590MBE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF326HNT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF924ODZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF754ISX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF017HIU.tar.gz	""	ENCFF569DTI,ENCFF075LHJ
ENCSR983YAI	in progress	ENCSR331ORD	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens CREB1	Chip-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF793ABF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF475EOF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF043MXU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF534QNR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF661VPL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF679CRL.tar.gz	""	ENCFF587RCG,ENCFF983ZVP
ENCSR985CKW	in progress	ENCSR837GTK	released	false	male adult (32 years) with nonobstructive coronary artery disease	Chip-Seq on JUND-human	UBERON:0002107	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF144GXD.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF381SUM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF326JPA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF907SVZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF685EWU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF517PCN.tar.gz	""	ENCFF858NON,ENCFF043ICI
ENCSR985CNW	in progress	ENCSR635NOQ	released	false	genetically modified (insertion) using site-specific recombination targeting H. sapiens KLF8	eGFP-KLF8 ChIP-seq on human HEK293 cells.	EFO:0001182	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF292QFS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF480GEE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF845CHA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608HYG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF090KUY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF015CEF.tar.gz	ENCFF506PLK,ENCFF458VOS	""
ENCSR985GBD	in progress	ENCSR979IOT	released	false		HES2 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 0 hours.	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF339POQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF257STA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF975ELX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF072LHG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF024RGI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF231SIC.tar.gz	""	ENCFF750GGD,ENCFF366VMC
ENCSR985PEG	in progress	ENCSR036QIR	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens E2F3	eGFP-E2F3 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF561TWF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF191WPA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF166LSO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF691COD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF292KSZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF170RXS.tar.gz	ENCFF269AZH,ENCFF949LTD	""
ENCSR985QCV	in progress	ENCSR000BRU	released	false		FOXM1 ChIP-seq protocol v042211.1 on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF102FUT.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF036VEE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF009VYH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF189ZVG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF452CRE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF191ZRN.tar.gz	""	ENCFF368PNU,ENCFF835BBX
ENCSR985TGA	in progress	ENCSR756URL	released	false	female adult (53 years)		UBERON:0006920	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF315SSQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF501WSR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF190XCB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF250VFN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF545WUP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF320UAQ.tar.gz	""	ENCFF611WNQ
ENCSR985YZH	in progress	ENCSR000BPF	released	true	treated with 0.02 percent ethanol for 1 hour	TAF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF423MAS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF906OPJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF746OAJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF924ODZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF754ISX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF643NAE.tar.gz	""	ENCFF535KHK,ENCFF595OWQ
ENCSR985ZUT	in progress	ENCSR801SWX	released	false		TARDBP ChIP-seq on human MCF-7	EFO:0001203	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF217IVE.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF932YBN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF094XSD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF533JPZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF004PFE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF500HTN.tar.gz	ENCFF410DPF,ENCFF015PSO	""
ENCSR986EYG	in progress	ENCSR730DZO	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ARID5B	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF109SQJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF899MJE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF416JVI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF442WCD.tar.gz	""	ENCFF158CSM,ENCFF678UBJ
ENCSR986MEJ	in progress	ENCSR740XMB	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens RBPJ	RBPJ ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF546KEB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF854QWR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF854MIW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF772NAX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF865EXP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF136CYP.tar.gz	ENCFF365YHX,ENCFF730PKL	""
ENCSR986WNQ	in progress	ENCSR000FBC	released	true	treated with interferon alpha for 6.0 hours	STAT2 ChIP-seq on human K562 treated with IFNa for 6 hours	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF383PTE.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF573PGK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF427PWE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF918ZIM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF411CQO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF424WXC.tar.gz	""	ENCFF222BFN,ENCFF980FHB
ENCSR986XLO	in progress	ENCSR482TWQ	released	false		RAD51 ChIP-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF194GAS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF626QHT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF797KPE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF061TIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF981UCU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF441AFF.tar.gz	ENCFF725MWO,ENCFF431RHO	""
ENCSR987ARI	in progress	ENCSR597TGH	released	true	genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, genetically modified (insertion) using CRISPR targeting H. sapiens MED14		EFO:0002824	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF896ECF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF461XNJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF336GIF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF296MFO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF677NNG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225OSB.tar.gz	""	ENCFF400HUD
