Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR236XBM	in progress	ENCSR124NNL	released	false	male adult (67 years)	ATAC-seq on human liver	UBERON:0002107	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF646GWO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF202MDL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF541OSY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF346NKE.tar.gz	ENCFF640ZNR	""
ENCSR237BVP	in progress	ENCSR217OHA	released	false	female adult (90 or above years)		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF747UYI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF162MMK.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF760ALV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF165VQG.tar.gz	ENCFF897SMH	""
ENCSR237JRU	in progress	ENCSR120LVW	released	false	female embryo (98 days)		UBERON:0004538	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF245STO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF931ELW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF637RFL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF992KYG.tar.gz	""	ENCFF377XPX
ENCSR238VPR	in progress	ENCSR035QHH	released	false	female embryo (113 days)		UBERON:0001987	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF195HOM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF864ACN.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF303QDK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF287ZZG.tar.gz	ENCFF653EJM	""
ENCSR239BBH	in progress	ENCSR371KRY	released	false	male embryo (97 days)		NTR:0000522	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF155THJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF363YQK.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF212MQS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF979HTA.tar.gz	""	ENCFF156CPF
ENCSR239XHL	in progress	ENCSR425WQW	released	false			CLO:0027443	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF067CZJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF183STJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF677EVI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF495BQM.tar.gz	ENCFF668HHR	""
ENCSR240EVS	in progress	ENCSR389IHS	released	false	male adult (24 years)		CL:0000084	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF869CZE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF278OMA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF813HWT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF260SKH.tar.gz	ENCFF251CIK	""
ENCSR241IGX	in progress	ENCSR600ZHS	released	false	female adult (46 years)	ATAC-seq on human left colon	UBERON:0008971	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF312RIP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF768JMJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF913WDL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF400LUK.tar.gz	ENCFF975WNG	""
ENCSR242KXL	in progress	ENCSR820XRX	released	false	female embryo (105 days)		UBERON:0000955	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF049SHB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF281WVH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF635YXV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF211UQD.tar.gz	""	ENCFF620DWN
ENCSR242ROY	in progress	ENCSR953UJL	released	false	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-12 subunit alpha for 4 hours, 100 ng/mL Interleukin-12 subunit beta for 4 hours		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF057CQA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF711LVZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF844IQP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF506AXQ.tar.gz	ENCFF817ZNY	""
ENCSR243NFZ	in progress	ENCSR518WRP	released	false	female adult (78 years)		UBERON:0009834	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF271JGS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF980SPA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF878OJT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF717ULK.tar.gz	ENCFF175CMR	""
ENCSR244ZMB	in progress	ENCSR543YPH	released	false	male embryo (115 days)		UBERON:0004538	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF284MEM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF707NXD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF556ZCU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF418QIE.tar.gz	""	ENCFF714TRJ
ENCSR245HRL	in progress	ENCSR580OAH	released	false	male embryo (91 days)		UBERON:0001224	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF710DLP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF914WQA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF493ULN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF444POE.tar.gz	""	ENCFF764DMN
ENCSR245KNI	in progress	ENCSR386HAZ	released	false	female adult (51 years)	ATAC-seq on human transverse colon	UBERON:0001157	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF443CCS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF473EKE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF420OKV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF418WYW.tar.gz	ENCFF422XWI	""
ENCSR246MCM	in progress	ENCSR044JIR	released	false	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours		NTR:0000502	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF815WAA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF712BVQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF040RCM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF633DIZ.tar.gz	ENCFF187TZE	""
ENCSR246WUN	in progress	ENCSR106RBR	released	false	female embryo (115 days)		UBERON:0002324	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF125ZQO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF045KEF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF888IKQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF421EXJ.tar.gz	""	ENCFF128SWG
ENCSR248PZF	in progress	ENCSR321KUC	released	false	male adult (38 years)		CL:0000625	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF072YGD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF976ROR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF647JIW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF769HDM.tar.gz	ENCFF990TLE	""
