Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR843IAZ	in progress	ENCSR913NYL	released	false	male embryo (108 days)		UBERON:0001224	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF954DGD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF550RXC.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF552QIB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF114YKV.tar.gz	""	ENCFF958HRC
ENCSR843KLE	released	ENCSR382RUC	released	false	mixed sex embryo (11.5 days) strain B6NCrl C57BL/6	ATAC-seq on embryonic e11.5 mouse midbrain	UBERON:0001891	tissue	mm10	Mus musculus	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF503GTJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF048IZW.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF229APV.tar.gz	ENCFF101USP,ENCFF876OCM	""
ENCSR843NKK	in progress	ENCSR131HOY	released	false	female adult with amyotrophic lateral sclerosis		CL:0000100	in vitro differentiated cells	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF629VKN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF761QTT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF878DOS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF378QGN.tar.gz	ENCFF275GRM	""
ENCSR844BAV	in progress	ENCSR422PVL	released	false	female embryo (147 days)		UBERON:0004538	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF848ENN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF204ZBQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF363NCK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF914DVW.tar.gz	""	ENCFF428CUP
ENCSR844KBU	in progress	ENCSR820ICX	released	false	female embryo (89 days)		UBERON:0000966	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF342CLW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF592SUC.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF207HMI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF806YXD.tar.gz	ENCFF842NAE	""
ENCSR844LSP	in progress	ENCSR320TUJ	released	false	female adult (50 years)		CL:0001059	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF227CNW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF373XKW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF375YAG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF044SJI.tar.gz	""	ENCFF879WIP
ENCSR844YHV	in progress	ENCSR377CRU	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-7 for 4 hours		NTR:0000669	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF473OSW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF739UYF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF183QMG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF438EJC.tar.gz	ENCFF469NED	""
ENCSR844ZPF	in progress	ENCSR337IRF	released	false			EFO:0000681	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF828FCT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF734AEG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF407HUK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF697UBE.tar.gz	ENCFF478GFR,ENCFF158JTK	""
ENCSR845EWD	in progress	ENCSR554WGQ	released	false			EFO:0010875	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF303RGG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF670JYU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF932OPG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF921OPN.tar.gz	ENCFF588QWF	""
ENCSR845NEQ	in progress	ENCSR163QXS	released	false	female adult (33 years)		CL:0000624	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF696WAO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF262TPI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF683EMB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF426XSJ.tar.gz	ENCFF647HTV	""
ENCSR846DLY	in progress	ENCSR474XFV	released	false	male adult (54 years)	ATAC-seq on human thyroid gland	UBERON:0002046	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF221ZKN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF206TNU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF909XCZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF117NZI.tar.gz	ENCFF507DID	""
ENCSR848OXW	in progress	ENCSR177JWR	released	false	female adult (59 years)	ATAC-seq on human right cardiac atrium	UBERON:0002078	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF610ANH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF578IRD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF466VHA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF362HTE.tar.gz	ENCFF260QJK	""
ENCSR848TND	in progress	ENCSR540PVZ	released	false	male embryo (120 days)		UBERON:0018116	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF010BIJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF295MKE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF180CZY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF790PGX.tar.gz	""	ENCFF602RBS
ENCSR849AMW	in progress	ENCSR889WKL	released	false			EFO:0002793	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF480DAR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF692LBG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF728CND.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF434HDT.tar.gz	ENCFF488MRC,ENCFF924PTR	""
ENCSR849LXO	in progress	ENCSR173NHL	released	false	female adult (90 or above years)		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF613SVV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF754OMM.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF007WVM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF934VYA.tar.gz	ENCFF727VRD	""
ENCSR849TOG	in progress	ENCSR157OSO	released	false	female adult (47 years)	ATAC-seq on human heart right ventricle	UBERON:0002080	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF668EHB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF285VWJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF118QOW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF613KDC.tar.gz	ENCFF658MBG	""
ENCSR850BLY	in progress	ENCSR000ENB	released	false		DNase-seq and DGF on human HA-sp	CL:0002606	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF917YGP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF830WFQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF832UTB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF634LAS.tar.gz	""	ENCFF960DBN,ENCFF935OTU
ENCSR851ICD	in progress	ENCSR133QZB	released	false	female adult (33 years)		CL:0000625	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF548OSY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF791ZSM.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF655QVR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF199LNF.tar.gz	ENCFF089CTW	""
ENCSR854AOU	in progress	ENCSR971MMF	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours		NTR:0000504	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF602FZR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF272CCY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF774CYT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF605KEE.tar.gz	ENCFF942JCU	""
ENCSR855ANC	in progress	ENCSR999VDH	released	false	female adult (59 years)		UBERON:0001264	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF755ZVH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF653PIR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF031SPH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF748USD.tar.gz	ENCFF456GDF	""
ENCSR855EMN	in progress	ENCSR567EEO	released	false	female adult (61 years)		UBERON:0002106	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF571QTA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF026YCU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF804OHB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF200HGC.tar.gz	ENCFF136TSS	""
ENCSR855OSM	in progress	ENCSR000EPQ	released	false	female	DNase-seq on human NHEK	CL:0000312	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF856IHJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF114YPJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF658PUQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF522SMH.tar.gz	""	ENCFF474YKG,ENCFF898SOZ
ENCSR858DQL	in progress	ENCSR357AWH	released	false	male adult (60 years)		UBERON:0002170	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF447GLQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF971GDS.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF166AAE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF406ZBP.tar.gz	ENCFF702XKC	""
ENCSR858EVI	in progress	ENCSR532CRI	released	false	embryo (59 days) embryo (58 days)		UBERON:0002101	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF445WPU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF852EMP.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF197QTQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF038RPS.tar.gz	ENCFF971RWR,ENCFF467ICE	""
ENCSR860FGK	in progress	ENCSR459PVP	released	false	male adult (55 years) with amyotrophic lateral sclerosis		CL:0000100	in vitro differentiated cells	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF359JXC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF718DAL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF603RDH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF403YBW.tar.gz	ENCFF742KHO	""
ENCSR861JCR	in progress	ENCSR926GDT	released	false	treated with 100 ng/mL lipopolysaccharide for 4 hours	ATAC-seq	CL:0000451	in vitro differentiated cells	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF687PUS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF538HQF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF073LCM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF151JNF.tar.gz	ENCFF631ZXT	""
ENCSR862EQC	in progress	ENCSR000EMF	released	false		DNase-seq on human bone marrow HS27a	EFO:0005283	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF679DLR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF305RCF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF772MXG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF914ZYJ.tar.gz	""	ENCFF299GDE
ENCSR863BVZ	in progress	ENCSR169KNO	released	false	female embryo (5 days)		CL:0002351	in vitro differentiated cells	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF365CBU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF721LKJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF043FOV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF841AYL.tar.gz	ENCFF008WMZ	""
ENCSR864YYM	in progress	ENCSR664PKM	released	false	female embryo (76 days) embryo (59 days)		UBERON:0000948	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF094RNV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF669XAX.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF859SVH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF341XUB.tar.gz	ENCFF618GPG,ENCFF845UVD	""
ENCSR866REJ	in progress	ENCSR261PWP	released	false	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours		NTR:0004148	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF443AQA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF871RIW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF354TRY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF654ABR.tar.gz	ENCFF066UUY	""
ENCSR867AUW	in progress	ENCSR914DTI	released	false	female adult (53 years)	ATAC-seq on human thyroid gland	UBERON:0002046	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF553YGV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF162QEB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF057PMA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF753LYX.tar.gz	ENCFF365JWJ	""
ENCSR867GZJ	in progress	ENCSR617SVO	released	false	female adult (90 or above years) with mild cognitive impairment		UBERON:0009834	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF614EES.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF052ILL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF395ZHT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF544FQX.tar.gz	ENCFF066YOO	""
ENCSR868BMM	in progress	ENCSR296TFH	released	false	male adult (24 years)		CL:0000900	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF227VWN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF555XQF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF399XAX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF203DYQ.tar.gz	ENCFF199RZW	""
ENCSR868XDI	in progress	ENCSR588JXI	released	false	male embryo (105 days)		UBERON:0018117	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF699CJI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF866DRV.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF761YOZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF572AVS.tar.gz	""	ENCFF560NXV
ENCSR869SLC	in progress	ENCSR846VLJ	released	false	female adult (53 years)	ATAC-seq on human sigmoid colon	UBERON:0001159	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF372LPI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF476CYY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF776BQK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF779FCA.tar.gz	ENCFF656BHJ	""
ENCSR869TPR	in progress	ENCSR724INK	released	false	male adult (56 years)		CL:0000905	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF920ZVS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF402WJL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF994DVA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF145FCR.tar.gz	ENCFF346WEX	""
ENCSR869YPU	in progress	ENCSR153LHP	released	false	male newborn		CL:1001608	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF547CAL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF050AAU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF858GSK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF267YFE.tar.gz	""	ENCFF487RHE
ENCSR870FAP	in progress	ENCSR212LAZ	released	false	female adult (59 years)	ATAC-seq on human fallopian tube	UBERON:0003889	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF238AWM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF678XRJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF626CRL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF475WNC.tar.gz	ENCFF237FMA	""
ENCSR870KZC	in progress	ENCSR299BQG	released	false	female adult (22 years)		CL:0000084	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF458QLP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF193XMX.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF016CKI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF579CXX.tar.gz	ENCFF126MXQ	""
ENCSR871HMB	in progress	ENCSR108PUO	released	false			EFO:0007950	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF330DRA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF532OLQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF892FJS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF676WMR.tar.gz	ENCFF376XJI	""
ENCSR872ETC	in progress	ENCSR153IUB	released	false	male adult (26 years)	ATAC-seq on human mucosa of urinary bladder	UBERON:0001259	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF791LVG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF734MUQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF401RPI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF319VQE.tar.gz	ENCFF428WFH	""
ENCSR872HWV	in progress	ENCSR778DWG	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 16 hours, 50 U/mL Interleukin-2 for 16 hours		NTR:0000497	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF532MRT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF587ACH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF029EJK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF862EHP.tar.gz	ENCFF104EGX	""
ENCSR872ONH	in progress	ENCSR731ODJ	released	false	female adult (58 years)	ATAC-seq on human left cardiac atrium	UBERON:0002079	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF622GKX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF629SON.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF701IMK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF566AXW.tar.gz	ENCFF956OQF	""
ENCSR873ZRY	in progress	ENCSR729TYE	released	false	female adult (90 or above years)		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF945BCN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF160ZNS.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF915HLK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF134WGI.tar.gz	ENCFF793FTR	""
ENCSR875BHJ	in progress	ENCSR615WIN	released	false	female embryo (89 days)		UBERON:0002240	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF896ATM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF474ABT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF530ZSY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF030QEJ.tar.gz	""	ENCFF377FXH
ENCSR875FPK	in progress	ENCSR988YKR	released	false	female embryo (113 days)		CL:1000892	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF307NWL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF664FOZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF251HCT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF705HQH.tar.gz	ENCFF033OTC	""
ENCSR876CEU	in progress	ENCSR006XFA	released	false	female adult (82 years)		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF369FXD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF419MGT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF378KYD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF687ZVR.tar.gz	ENCFF497WHX	""
ENCSR876FNB	in progress	ENCSR945RWN	released	false	male embryo (108 days)		UBERON:0002108	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF395RQJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF013GEY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF044OZW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF152VQM.tar.gz	""	ENCFF931AYT
ENCSR877IYJ	in progress	ENCSR637OPZ	released	false	male adult (36 years) treated with 100 ng/mL Interleukin-15 for 72 hours, anti-CD3 and anti-CD28 coated beads for 72 hours		NTR:0000667	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF027YRS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF525TVD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF490ACS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF152ZWL.tar.gz	ENCFF960TBS,ENCFF218IMC	""
ENCSR877QBD	in progress	ENCSR975LGK	released	false	male adult (33 years)		CL:0000623	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF056VBQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF300RYU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF178IFV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF856BBE.tar.gz	ENCFF684DLJ	""
ENCSR877WHN	in progress	ENCSR885ZBV	released	false	female adult (90 or above years) with mild cognitive impairment		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF276DQO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF743UBB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF821SXB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF382WDB.tar.gz	ENCFF969PRK	""
ENCSR878DJX	in progress	ENCSR933HFM	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-12 subunit alpha for 4 hours, 100 ng/mL Interleukin-12 subunit beta for 4 hours		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF854HEY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF195QEI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF389VHA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF343FAK.tar.gz	ENCFF413BUL	""
ENCSR878FQY	in progress	ENCSR474HQW	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL Interleukin-15 for 4 hours		NTR:0000669	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF280YZC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF337LGT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF629SVZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF650UJZ.tar.gz	ENCFF916LCH	""
ENCSR878HAK	in progress	ENCSR279SXQ	released	false	female adult (46 years)		UBERON:0008971	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF996DFY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF207DCX.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF736ZLG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF170UMJ.tar.gz	ENCFF966UTQ	""
